"COL_PROJECT_ID","COL_COVER_PAR","COL_COVER_POL","COL_PRIORITY","COL_SUBJ_OWNER","COL_NAME","COL_PLACE_CODE","COL_SUBJ_CODE","COL_YEAR_START","COL_YEAR_END","COL_COST_IN_EXP_ALL","COL_COST_ALL","COL_COST_FILL_TO_BEF_2","COL_COST_FILL_TO_BEF_1","COL_COST_NEED_0","COL_COST_NO_PUMP_BEF_1","COL_COST_GR_A_0","COL_COST_ALT_SRC_REQ","COL_COST_GR_F_0","COL_COST_GR_B_0","COL_COST_GR_C_0","COL_COST_GR_A_1","COL_COST_GR_C_1","COL_COST_GR_SUM_1","COL_COST_GR_A_2","COL_COST_GR_C_2","COL_COST_GR_SUM_2","COL_COST_GR_A_3","COL_COST_GR_C_3","COL_COST_GR_SUM_3","COL_COST_AFT",
"0234/20","3639","6121",1,"odbor majetkovı (ORJ 137)","Vıkup parkovacího domu Koma Parking vè. pozemù","Svinov","Magistrát mìsta Ostravy",2027,2027,0,13000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000000,0,13000000,0,
"","3612","6313",1,"odbor územního plánování a stavebního øádu  (ORJ 210)","Obnova nevyuitıch budov za úèelem rozvoje bytového fondu - PO","statutární mìsto Ostrava","Magistrát mìsta Ostravy",2023,2024,0,458000,0,0,458000,458000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"0116/21","6330","6363",1,"MOb Ostrava-Jih","Rekonstrukce objektu Kryté sportovištì Ostrava-Dubina, ul. Horní 287/81","Ostrava - Jih","MOb Ostrava-Jih",2021,2027,50000000,264893000,4590000,303000,50000000,0,50000000,0,0,0,0,130000000,0,130000000,30000000,0,30000000,50000000,0,50000000,0,
"0346/23","6330","6363",3,"MOb Radvanice a Bartovice","Rekonstrukce chodníku podél ul. Vrchlického","Radvanice a Bartovice","MOb Radvanice a Bartovice",2017,2025,0,4170000,170000,0,3600000,0,2000000,0,0,0,1600000,400000,0,400000,0,0,0,0,0,0,0,
"0788/19","6330","6363",1,"MOb Krásné Pole","Rekonstrukce høbitova","Krásné Pole","MOb Krásné Pole",2014,2024,0,12153000,5317500,4835500,2000000,0,0,0,1800000,0,200000,0,0,0,0,0,0,0,0,0,0,
"0245/21","5512","6123",1,"Hasièskı záchrannı sbor Moravskoslezského kraje","Cisternová automobilová støíkaèka CAS 30 VH pro JSDH Krásné Pole - obmìna 1ks (spolufinancování SID MV)","Krásné Pole","Magistrát mìsta Ostravy",2023,2024,0,11000000,0,0,11000000,0,5000000,0,0,0,6000000,0,0,0,0,0,0,0,0,0,0,
"0352/23","6330","6363",1,"MOb Mariánské Hory a Hulváky","Chránìné bydlení Strmá 1013/3","Mariánské Hory a Hulváky","MOb Mariánské Hory a Hulváky",2023,2024,0,41000000,0,1000000,40000000,0,0,0,28000000,0,12000000,0,0,0,0,0,0,0,0,0,0,
"0202/23","2212","6121",1,"odbor dopravy (ORJ 100)","Okruní køiovatka Sokolovská-Slavíkova-Jekova Ostrava-Poruba ","Poruba","Magistrát mìsta Ostravy",2023,2025,0,18670332,0,170332,1200000,0,1200000,0,0,0,0,17300000,0,17300000,0,0,0,0,0,0,0,
"0135/19","2310","6121",2,"odbor investièní (ORJ 230)","Pøíprava VH staveb - LM","statutární mìsto Ostrava","Magistrát mìsta Ostravy",2019,2025,0,4728000,2819000,484000,1025000,541000,84000,0,400000,0,0,0,400000,400000,0,0,0,0,0,0,0,
"0135/19","2321","6121",2,"odbor investièní (ORJ 230)","Pøíprava VH staveb - LM","statutární mìsto Ostrava","Magistrát mìsta Ostravy",2019,2025,0,6873000,3816000,1210000,847000,0,147000,0,700000,0,0,0,1000000,1000000,0,0,0,0,0,0,0,
"1025/19","4350","6351",2,"Domov Iris","Úprava hlavního vstupu do domova a zázemí pro zamìstnance","Mariánské Hory a Hulváky","Domov Iris",2019,2026,0,33984955,150000,0,0,0,0,0,0,0,0,0,0,0,18102673,0,18102673,15732282,0,15732282,0,
"0757/19","6330","6363",2,"MOb Moravská Ostrava a Pøívoz","ZŠO Gen. Píky - rekonstrukce venkovních sportoviš","Moravská Ostrava a Pøívoz","MOb Moravská Ostrava a Pøívoz",2019,2025,0,25294030,294030,0,0,0,0,0,0,0,0,12500000,12500000,25000000,0,0,0,0,0,0,0,
"0205/23","6330","6363",1,"MOb Mariánské Hory a Hulváky","Rekonstrukce slaboproudıch rozvodù ZŠ Gen. Janka","Mariánské Hory a Hulváky","MOb Mariánské Hory a Hulváky",2023,2026,0,4333244,0,332750,0,0,0,0,0,0,0,0,1600494,1600494,2400000,0,2400000,0,0,0,0,
"0084/23","6330","6363",1,"MOb Proskovice","Rekonstrukce budovy sportovního areálu u fotbalového høištì v Proskovicích","Proskovice","MOb Proskovice",2023,2026,0,15400000,0,99704,2000000,0,1000000,0,0,0,1000000,2900296,1400000,4300296,9000000,0,9000000,0,0,0,0,
"0266/23","6330","6363",1,"MOb Slezská Ostrava","Ústøední høbitov technické zázemí","Slezská Ostrava","MOb Slezská Ostrava",2024,2025,0,9000000,0,0,7000000,0,0,0,6000000,0,1000000,0,2000000,2000000,0,0,0,0,0,0,0,
"0026/22","2219","6121",2,"odbor dopravy (ORJ 100)","Rekonstrukce ul. Vítkovické v Ostravì vèetnì cyklistické infrastruktury","Moravská Ostrava a Pøívoz","Magistrát mìsta Ostravy",2022,2027,0,68760950,0,356950,0,0,0,0,0,0,0,5000000,0,5000000,0,0,0,63404000,0,63404000,0,
"0503/19","3412","6313",2,"Sportovní a rekreaèní zaøízení mìsta Ostravy, s.r.o.","Zateplení objektu Sportovní haly Ostrava","Moravská Ostrava a Pøívoz","Sportovní a rekreaèní zaøízení mìsta Ostravy, s.r.o.",2018,2025,0,38600444,13600444,0,0,0,0,0,0,0,0,25000000,0,25000000,0,0,0,0,0,0,0,
"0303/22","6330","6363",1,"MOb Proskovice","Pumptrack v Proskovicích","Proskovice","MOb Proskovice",2022,2025,0,1650000,0,0,0,0,0,0,0,0,0,1485000,165000,1650000,0,0,0,0,0,0,0,
