Datum,Stanice,Třída objektu,Počet
04.01.2024 9:00,Hlučínská x Slovenská - od Přívozu,Ostatní,60
04.01.2024 9:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,54
04.01.2024 9:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,33
04.01.2024 9:00,Českobratrská x Sokolská třída - od konzervatoře,Velké,35
04.01.2024 10:00,Novinářská x 28. října - od Fifejd,Ostatní,222
04.01.2024 10:00,Novinářská x 28. října - od Vítkovic,Ostatní,155
04.01.2024 10:00,Novinářská x 28. října - od Vítkovic,Velké,1
04.01.2024 10:00,Novinářská x 28. října - od centra,Ostatní,83
04.01.2024 10:00,Novinářská x 28. října - od centra,Velké,1
04.01.2024 10:00,Novinářská x 28. října - od Poruby,Ostatní,143
04.01.2024 10:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,57
04.01.2024 10:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,19
04.01.2024 10:00,Bohumínská x 28. října - směr Přívoz,Ostatní,64
04.01.2024 10:00,Hlučínská x Slovenská - od Švermy,Ostatní,212
04.01.2024 10:00,Hlučínská x Slovenská - od Přívozu,Ostatní,94
04.01.2024 10:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,65
04.01.2024 10:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,16
04.01.2024 10:00,Českobratrská x Sokolská třída - od konzervatoře,Velké,40
04.01.2024 11:00,Novinářská x 28. října - od Fifejd,Ostatní,241
04.01.2024 11:00,Novinářská x 28. října - od Fifejd,Velké,1
04.01.2024 11:00,Novinářská x 28. října - od Vítkovic,Ostatní,167
04.01.2024 11:00,Novinářská x 28. října - od Vítkovic,Velké,4
04.01.2024 11:00,Novinářská x 28. října - od centra,Ostatní,90
04.01.2024 11:00,Novinářská x 28. října - od Poruby,Ostatní,169
04.01.2024 11:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,72
04.01.2024 11:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,32
04.01.2024 11:00,Bohumínská x 28. října - směr Přívoz,Ostatní,118
04.01.2024 11:00,Hlučínská x Slovenská - od Švermy,Ostatní,193
04.01.2024 11:00,Hlučínská x Slovenská - od Přívozu,Ostatní,82
04.01.2024 11:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,77
04.01.2024 11:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,20
04.01.2024 11:00,Českobratrská x Sokolská třída - od konzervatoře,Velké,11
04.01.2024 12:00,Novinářská x 28. října - od Fifejd,Ostatní,239
04.01.2024 12:00,Novinářská x 28. října - od Vítkovic,Ostatní,171
04.01.2024 12:00,Novinářská x 28. října - od Vítkovic,Velké,2
04.01.2024 12:00,Novinářská x 28. října - od centra,Ostatní,95
04.01.2024 12:00,Novinářská x 28. října - od Poruby,Ostatní,167
04.01.2024 12:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,70
04.01.2024 12:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,26
04.01.2024 12:00,Bohumínská x 28. října - směr Přívoz,Ostatní,141
04.01.2024 12:00,Hlučínská x Slovenská - od Švermy,Ostatní,231
04.01.2024 12:00,Hlučínská x Slovenská - od Přívozu,Ostatní,95
04.01.2024 12:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,60
04.01.2024 12:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Velké,1
04.01.2024 12:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,123
04.01.2024 12:00,Českobratrská x Sokolská třída - od konzervatoře,Velké,2
04.01.2024 13:00,Novinářská x 28. října - od Fifejd,Ostatní,226
04.01.2024 13:00,Novinářská x 28. října - od Vítkovic,Ostatní,158
04.01.2024 13:00,Novinářská x 28. října - od Vítkovic,Velké,2
04.01.2024 13:00,Novinářská x 28. října - od centra,Ostatní,82
04.01.2024 13:00,Novinářská x 28. října - od Poruby,Ostatní,149
04.01.2024 13:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,76
04.01.2024 13:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,28
04.01.2024 13:00,Bohumínská x 28. října - směr Přívoz,Ostatní,199
04.01.2024 13:00,Hlučínská x Slovenská - od Švermy,Ostatní,241
04.01.2024 13:00,Hlučínská x Slovenská - od Přívozu,Ostatní,106
04.01.2024 13:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,74
04.01.2024 13:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,84
04.01.2024 13:00,Českobratrská x Sokolská třída - od konzervatoře,Velké,1
04.01.2024 14:00,Novinářská x 28. října - od Fifejd,Ostatní,263
04.01.2024 14:00,Novinářská x 28. října - od Fifejd,Velké,1
04.01.2024 14:00,Novinářská x 28. října - od Vítkovic,Ostatní,171
04.01.2024 14:00,Novinářská x 28. října - od Vítkovic,Velké,2
04.01.2024 14:00,Novinářská x 28. října - od centra,Ostatní,128
04.01.2024 14:00,Novinářská x 28. října - od Poruby,Ostatní,167
04.01.2024 14:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,89
04.01.2024 14:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,34
04.01.2024 14:00,Bohumínská x 28. října - směr Přívoz,Ostatní,320
04.01.2024 14:00,Hlučínská x Slovenská - od Švermy,Ostatní,324
04.01.2024 14:00,Hlučínská x Slovenská - od Přívozu,Ostatní,148
04.01.2024 14:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,99
04.01.2024 14:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,56
04.01.2024 14:00,Českobratrská x Sokolská třída - od konzervatoře,Velké,2
04.01.2024 15:00,Novinářská x 28. října - od Fifejd,Ostatní,312
04.01.2024 15:00,Novinářská x 28. října - od Vítkovic,Ostatní,231
04.01.2024 15:00,Novinářská x 28. října - od Vítkovic,Velké,3
04.01.2024 15:00,Novinářská x 28. října - od centra,Ostatní,149
04.01.2024 15:00,Novinářská x 28. října - od Poruby,Ostatní,197
04.01.2024 15:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,139
04.01.2024 15:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,33
04.01.2024 15:00,Bohumínská x 28. října - směr Přívoz,Ostatní,144
04.01.2024 15:00,Hlučínská x Slovenská - od Švermy,Ostatní,379
04.01.2024 15:00,Hlučínská x Slovenská - od Přívozu,Ostatní,244
04.01.2024 15:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,103
04.01.2024 15:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Velké,2
04.01.2024 15:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,70
04.01.2024 15:00,Českobratrská x Sokolská třída - od konzervatoře,Velké,3
04.01.2024 16:00,Novinářská x 28. října - od Fifejd,Ostatní,192
04.01.2024 16:00,Novinářská x 28. října - od Fifejd,Velké,6
04.01.2024 16:00,Novinářská x 28. října - od Vítkovic,Ostatní,151
04.01.2024 16:00,Novinářská x 28. října - od Vítkovic,Velké,10
04.01.2024 16:00,Novinářská x 28. října - od centra,Ostatní,73
04.01.2024 16:00,Novinářská x 28. října - od Poruby,Ostatní,126
04.01.2024 16:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,61
04.01.2024 16:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,47
04.01.2024 16:00,Bohumínská x 28. října - směr Přívoz,Ostatní,29
04.01.2024 16:00,Hlučínská x Slovenská - od Švermy,Ostatní,431
04.01.2024 16:00,Hlučínská x Slovenská - od Přívozu,Ostatní,216
04.01.2024 16:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,77
04.01.2024 16:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Velké,3
04.01.2024 16:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,10
04.01.2024 17:00,Novinářská x 28. října - od Fifejd,Ostatní,141
04.01.2024 17:00,Novinářská x 28. října - od Vítkovic,Ostatní,102
04.01.2024 17:00,Novinářská x 28. října - od Vítkovic,Velké,4
04.01.2024 17:00,Novinářská x 28. října - od centra,Ostatní,34
04.01.2024 17:00,Novinářská x 28. října - od Poruby,Ostatní,53
04.01.2024 17:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,33
04.01.2024 17:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,36
04.01.2024 17:00,Bohumínská x 28. října - směr Přívoz,Ostatní,6
04.01.2024 17:00,Hlučínská x Slovenská - od Švermy,Ostatní,183
04.01.2024 17:00,Hlučínská x Slovenská - od Přívozu,Ostatní,90
04.01.2024 17:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,26
04.01.2024 17:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Velké,13
04.01.2024 17:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,4
04.01.2024 18:00,Novinářská x 28. října - od Fifejd,Ostatní,97
04.01.2024 18:00,Novinářská x 28. října - od Vítkovic,Ostatní,67
04.01.2024 18:00,Novinářská x 28. října - od Vítkovic,Velké,3
04.01.2024 18:00,Novinářská x 28. října - od centra,Ostatní,23
04.01.2024 18:00,Novinářská x 28. října - od Poruby,Ostatní,30
04.01.2024 18:00,Novinářská x 28. října - od Poruby,Velké,1
04.01.2024 18:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,27
04.01.2024 18:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,17
04.01.2024 18:00,Bohumínská x 28. října - směr Přívoz,Ostatní,4
04.01.2024 18:00,Hlučínská x Slovenská - od Švermy,Ostatní,176
04.01.2024 18:00,Hlučínská x Slovenská - od Přívozu,Ostatní,76
04.01.2024 18:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,31
04.01.2024 18:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Velké,10
04.01.2024 18:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,2
04.01.2024 19:00,Novinářská x 28. října - od Fifejd,Ostatní,48
04.01.2024 19:00,Novinářská x 28. října - od Fifejd,Velké,1
04.01.2024 19:00,Novinářská x 28. října - od Vítkovic,Ostatní,41
